do_shap_X1,do_shap_X2,do_shap_X3,do_shap_Z1,do_shap_Z2,target,umap_1,umap_2,cluster
0.10799999999999996,0.10849999999999997,0.03600000000000002,0.21849999999999997,0.039,1,11.107627,-0.9096603,1
-0.1325,-0.14600000000000005,0.011999999999999995,-0.229,-0.004499999999999981,0,-8.631264,2.6372733,0
-0.058499999999999996,-0.308,-0.016499999999999997,-0.24450000000000002,-0.0024999999999999944,0,-7.2425194,0.68667054,0
-0.048999999999999995,-0.35200000000000004,0.0020000000000000044,-0.2250000000000001,0.02400000000000001,0,-7.016749,-0.11783343,0
0.02949999999999999,0.19499999999999998,0.0050000000000000044,0.23500000000000001,0.025500000000000023,1,10.357652,-2.812229,1
0.0055,0.2725,0.002500000000000008,0.13950000000000004,0.01000000000000002,1,14.150791,-3.4793496,1
0.035500000000000004,0.21550000000000002,0.0029999999999999636,0.20599999999999996,-0.029999999999999992,1,11.414942,-3.1245053,1
0.0405,0.22899999999999995,0.015499999999999996,0.15750000000000003,0.01749999999999998,1,12.961675,-3.392312,1
0.02250000000000001,0.25999999999999995,-0.0010000000000000204,0.12799999999999997,-0.0595,1,13.7483225,-3.5459168,1
0.056499999999999995,0.15149999999999997,0.007999999999999985,0.22349999999999995,-0.009500000000000003,1,10.853496,-1.6164677,1
0.039000000000000014,0.14099999999999996,0.02650000000000003,0.22249999999999998,-0.018999999999999996,1,10.670949,-1.4885944,1
-0.05300000000000001,-0.21099999999999994,-0.007499999999999986,-0.271,0.032499999999999994,0,-9.497461,1.9817051,0
0.0455,0.265,0.0004999999999999894,0.1295,0.03949999999999999,1,13.852574,-3.132672,1
-0.019999999999999997,-0.22049999999999997,-0.020500000000000008,-0.28150000000000003,0.022500000000000003,0,-9.65236,2.0402718,0
-0.003999999999999992,0.198,-0.01150000000000001,0.21150000000000002,-0.013999999999999976,1,10.759793,-3.0345745,1
-0.028000000000000008,-0.3055,0.011999999999999967,-0.2375,-0.0009999999999999963,0,-7.2666235,0.35373858,0
0.02649999999999999,0.1715,0.009000000000000008,0.23650000000000002,-0.0335,1,10.780888,-2.0313191,1
0.044500000000000005,0.35649999999999993,-0.01200000000000001,0.06649999999999998,0.004499999999999993,0,14.162883,-2.9270165,1
0.039999999999999994,-0.19,-0.0014999999999999868,-0.30899999999999994,-0.00949999999999999,0,-9.969343,2.919788,0
-0.009000000000000006,-0.17150000000000004,-0.005500000000000003,-0.32999999999999996,-0.024,0,-9.747147,3.228181,0
