feat_MedInc,feat_HouseAge,feat_AveRooms,feat_AveBedrms,feat_Population,feat_AveOccup,feat_Latitude,feat_Longitude,price,Latitude,Longitude,shap2_0,shap2_1,shap2_2,shap2_3,shap2_4,shap2_5,shap2_6,shap2_7,shap2_8,shap2_9,shap2_10,shap2_11,shap2_12,shap2_13,shap2_14,shap2_15,shap2_16,shap2_17,shap2_18,shap2_19,shap2_20,shap2_21,shap2_22,shap2_23,shap2_24,shap2_25,shap2_26,shap2_27,umap_1,umap_2,cluster
3.0592,45.0,4.5501285347043705,1.0874035989717223,1410.0,3.6246786632390746,34.07,-118.12,2.125,34.07,-118.12,-0.0381175205773439,0.018780873662048544,-0.0022007059072197063,-0.002187887503688808,0.04514877903767532,0.024859253419741337,-0.007949947424523117,-0.0013605230424235558,1.7242425197007996e-05,0.0006238141049160806,-0.01780653982294315,0.0005677668549384702,0.0003140674845954796,-0.0006661709815696918,0.0001509585046165929,0.0050736725381157755,-0.0019982234262522075,-0.0011557109641398323,0.0004544110783291056,0.0002716288999492065,0.0012587376701931213,0.004275545620894647,-0.00311045068053288,-0.0006009540334903172,-0.0011513821681027236,-0.032069808150024255,-0.004208065561081505,0.06820840834634925,-4.0700226,7.155723,1
1.5174,43.0,4.609004739336493,0.9786729857819905,1492.0,3.5355450236966823,36.76,-119.77,0.546,36.76,-119.77,-0.03848120009692364,-0.03425195594979053,0.0017593933801967594,-0.0013674570414286967,0.04577097511018451,-0.044927456801260354,-0.004810961086914768,-0.0017115894811963216,-0.00045744370100402905,0.0005971552069147746,-0.011629688527761637,0.006012578990473507,0.0008667650056164228,0.0006466417454014473,0.0005320225081655501,0.005069290408118325,0.0032851487540993037,-0.0005676483305849024,-0.0012233743008637132,-0.0038626649984010086,0.00794945365107204,-0.0052060117550055815,-0.001026356752214031,0.00382318155974618,-0.0015914118993162823,-0.015182644277812397,-0.017983197532952536,-0.2655887302017324,11.071372,2.9980361,1
4.087,26.0,5.651376146788991,1.036697247706422,1952.0,5.969418960244648,37.34,-121.83,1.825,37.34,-121.83,0.0051190427976674354,0.010653009654623437,0.00042500526620398204,-0.001218819156254742,-0.04338413171068564,0.028699862084634466,-0.016001392318719814,0.0009869181284818413,-0.00036794357953460354,-0.00030101722860925994,-0.011353576143660473,-0.002680325180169978,0.000698905284412323,0.0002889727974171839,0.00025197564520850233,-0.002379421338738195,-0.0029713176421737007,0.002728232414583743,-0.0002105003464589391,0.001105157124676623,-0.0039827690667057734,-9.193651777324193e-05,-0.001524283610258118,0.0012595517846270637,0.00048458010686143623,-0.010006323050760163,0.019142492352323025,-0.04964859111136667,4.8640747,9.754493,1
6.3199,23.0,6.909407665505227,0.975609756097561,978.0,3.407665505226481,34.3,-118.71,2.367,34.3,-118.71,-0.021992666007007694,0.018742950563677026,-0.008458765325064493,0.00021454906672188658,-0.03758507028990991,-0.051013393569274916,-0.029909819881881305,-0.004539282118673996,-0.0012062509492366009,-0.00042810368016298745,0.007914451803244375,0.0022952131034207827,0.0020002058468584086,-0.0017374461143314793,-0.0017091565403699808,-0.006928714059313502,0.023380033412700355,-0.00596907713770083,-0.00206859610771573,0.00044159500511043305,-0.006131277471709107,-0.005454878847151344,-0.00883872813107669,-1.553156848628162e-05,-0.0008683543826499702,-0.01891086629150453,-0.02053947753257743,-0.016174194044492836,3.0912862,10.22367,1
2.1991,47.0,4.712765957446808,1.0425531914893618,517.0,2.75,37.97,-121.24,0.672,37.97,-121.24,-0.037712972163726224,-0.014120123867067009,-0.00205379363802064,-0.0019146597023049852,0.007492892745622449,0.00698692136820064,0.003674704663313811,-6.872779271289673e-05,-0.00029106238742115454,0.0004032035432524152,-0.00601020476085075,-0.019881717625422162,-0.0007770518052128084,-0.0002634588729797561,-0.001925413529528558,0.002717508826422046,0.003198587768400828,-0.00401881222558945,-0.0015549070677812816,-0.00039405027500101736,0.0025052569614814795,0.001767266064885265,0.0005286126573632005,-0.003242519655747636,0.0028252594247034388,0.0058836046134421414,0.001698519386175553,-0.14645848884156637,7.890048,6.831399,1
3.7159,52.0,4.574829931972789,0.9897959183673469,560.0,1.9047619047619047,37.78,-122.45,4.944,37.78,-122.45,0.03592074718632798,0.010996018685091768,-0.0036911541593399027,0.0005126256334025983,0.16034189069587193,0.03175308064887085,0.07429287288023227,0.0029400501411304715,0.001452200969615661,0.0019510961773518284,0.11729295715643252,0.0021009280730822978,0.0017923104854730364,0.0010175013694520864,-0.0024119873760194742,-0.005957929483005116,0.015156264543562456,0.024478014320874097,0.00201136464084554,-0.009865174715543913,0.004197478106043456,0.01740052255299203,0.0041515708869765775,-0.0021414239983045865,0.0027416188296852744,0.03232030473188284,-0.03136353618193968,0.13362939904855015,0.7469439,7.5052786,1
3.5781,4.0,19.178571428571427,2.8452380952380953,275.0,3.2738095238095237,33.89,-117.13,2.444,33.89,-117.13,0.048595484047104,-0.014344032411229085,-4.111668267911599e-05,0.0019639199909264196,-0.017353416416421758,0.016156133362257963,-0.03196910263983153,-0.009101143169308547,0.003092986328289072,0.016937037626593182,0.030899268030594108,0.006768347504908698,0.015303886887169023,-0.01676575936196837,0.001756219005360265,0.03406836904082217,0.005727521546993095,0.00875192101457269,-0.005011892405144486,-0.001511945222299278,0.01100427345117283,0.0037503219556807373,0.0053342227341378464,-0.0019123898583741255,-0.012482742304127957,-0.005091138162103467,0.03233627573753585,-0.06341814342870801,6.410934,6.7065225,1
6.4335,7.0,7.383081896551724,1.2672413793103448,4446.0,2.3954741379310347,32.83,-117.08,2.606,32.83,-117.08,-0.12116815132022268,0.027539166419711318,0.009846359405549057,0.015529394160818518,0.02591302242176254,-0.07437966362255877,0.10479735649363764,0.019089607868876365,-0.00011210408107358821,5.3977883953152186e-05,-0.04652984801889187,-0.0049468662568863805,0.0020980023165025736,0.012915925755082859,0.0017690706114940559,0.0002333088789398429,-0.007392932937873052,0.004447885075636673,0.0006013046887139017,-0.002722234310103476,-0.0011043244563537565,0.0009579061291445669,-0.0014430831830770426,0.002478426212823878,0.0017780613741134065,0.014955964785161566,-0.028692104154670002,-0.14781542814694917,7.089018,10.224564,1
6.0661,24.0,6.329787234042553,0.9817629179331308,2194.0,3.3343465045592704,34.27,-119.17,2.348,34.27,-119.17,-0.015258547306660156,0.011915224133770285,-0.008425561561167352,0.00799520754890316,-0.061050801571485715,-0.050221580788232134,-0.031079405634719,-0.0009263718767187056,-0.001202294818585208,-0.0025292291764361548,0.008155724893166986,0.005688214259442757,0.0017302338243993937,-0.001658558956943754,-0.003096994406252053,-0.004141460242414782,0.008004075182893793,-0.004796048381978658,-0.0010259487724992172,0.00313085159606093,-0.00619159021119973,-0.005319850586754975,-0.002410804586281431,-0.004523659475097643,0.004575538061942011,-0.013172270469167932,-0.011139942732569567,-0.015966472930581555,3.0748796,10.357106,1
1.9066,31.0,4.217570350034317,1.0240219629375429,5666.0,3.888812628689087,35.26,-118.9,0.546,35.26,-118.9,-0.008028447855048627,-0.014808410768574415,0.0019472889780936893,-2.515511927567225e-05,0.04645021268387241,-0.03290286232026913,-0.003408745513672266,0.0013914353574398391,-0.0005267252586302852,0.000839989804060103,-0.008895676680124231,0.0035196586705989854,0.0008090986387074839,0.0004738195353917401,0.0008427651236748418,0.004843421003787208,-0.004476419297113616,0.0010531858154105144,-0.001276403350833516,0.0019025128743626804,-0.004312297439423496,-0.005983438019817626,0.0031106497967299477,-0.01075896920477208,0.0006033984595819256,-0.021263639811714443,-0.015562827830149775,-0.21689248753290175,10.746904,3.528348,1
