do_shap_MedInc,do_shap_HouseAge,do_shap_AveRooms,do_shap_AveBedrms,do_shap_Population,do_shap_AveOccup,do_shap_Latitude,do_shap_Longitude,target,umap_1,umap_2,cluster
-0.18337383074047447,0.1422515550584306,-0.04997328464356651,-0.017223404738404613,0.03194192490221823,-0.413050327805567,0.015681535893777993,0.09352872115341024,2.125,12.659961,1.3985332,2
-1.0097890067909594,0.06401433622840168,0.032860405035115114,0.0039267132166456165,-0.07328241290227076,-0.2580388400803494,0.010148717242554048,-0.05095904421334603,0.546,13.791154,8.538045,2
-0.027113193500577615,-0.012291065666608147,-0.044549757757721464,-0.0339536776181181,-0.008855144677465038,-0.6842976284136987,0.15580174436833152,0.05080590096723109,1.825,12.007758,0.5751769,2
1.0819963699748083,0.06950174780727572,0.0289771289250694,-0.06065435714217293,0.002036485595418247,-0.38257602348642294,0.08305067548268635,-0.15526585823612396,2.367,5.9243264,-1.2923132,2
-0.8284832835906785,0.14666066319293045,0.0109495054906939,0.024548233003031633,-0.051870030490756,0.04301538203839811,-0.01668518763600385,0.0316339282899849,0.672,12.277719,7.247708,2
0.3627308320692459,0.25671596735072166,0.08442718577220681,-0.057327846910245034,0.011084639232204596,1.0464443114260358,0.029055492093647328,0.14674182963333823,4.944,6.280916,4.271932,2
-0.05898373271947163,-0.052786762284529665,0.07985755524588345,0.018163446910794023,0.05007654905998557,-0.2816383863501992,-0.0677367017227892,0.04075935316412224,2.444,11.449073,1.6755517,2
1.1490227347318032,-0.34134576880750483,0.01722683858260779,-0.07417314109943621,-0.05674199303086919,0.14948085618255552,0.05991734780985425,-0.14836538464381233,2.606,4.787377,-1.083778,2
0.9887105140532844,0.00048782141832087733,-0.036942233916819944,0.04489434158915634,-0.02769714490140307,-0.3458025747336976,-0.06466433503678551,-0.10019206200192671,2.348,6.0450873,-1.2583545,2
-0.6478900612993083,0.08094943478236824,-0.1233614895393717,-0.04590916805650855,0.09916624491250434,-0.31673662760349186,-0.048062613709617896,-0.13222345408560676,0.546,13.883226,5.7897525,2
