feat_MedInc,feat_HouseAge,feat_AveRooms,feat_AveBedrms,feat_Population,feat_AveOccup,feat_Latitude,feat_Longitude,price,Latitude,Longitude,shap_MedInc,shap_HouseAge,shap_AveRooms,shap_AveBedrms,shap_Population,shap_AveOccup,shap_Latitude,shap_Longitude,umap_1,umap_2,cluster
5.3922,26.0,7.085858585858586,0.946969696969697,1617.0,4.083333333333333,37.64,-122.46,3.537,37.64,-122.46,0.5498818930824638,0.042315083696033505,0.04591330216007163,-0.06266343851977121,0.08051894312948943,-0.1723666809311803,0.008795493897948588,0.6620808791814289,7.1553116,5.8538704,2
7.2392,31.0,7.281889763779527,0.9826771653543307,1852.0,2.916535433070866,33.77,-117.81,3.346,33.77,-117.81,1.2515368758873504,0.06805922220417518,0.03801880819125025,-0.09832959055165821,0.014721933462132073,-0.10520962702996782,0.1630620481691305,-0.08647447010545163,5.4185686,2.9135826,2
5.6506,10.0,7.092150170648464,1.0392491467576792,1878.0,3.204778156996587,37.99,-121.79,1.786,37.99,-121.79,0.43601205709616025,-0.2551398814114649,0.047245070651156754,0.0027766013619287882,0.031005938496816165,-0.20542836137917664,-0.3172710909590357,0.08685909807512086,6.5488787,4.892011,2
3.2279,43.0,5.662790697674419,1.1007751937984496,800.0,3.10077519379845,37.37,-121.83,1.824,37.37,-121.83,-0.3401932782983516,0.16430991560357266,-0.14848853929258476,0.018135956028045446,-0.01525446022424039,-0.15825812951366802,-0.031313953421615685,0.12970521366577678,8.095513,8.774002,-1
5.2166,17.0,5.078073089700997,1.0066445182724253,2030.0,3.372093023255814,37.28,-121.83,2.309,37.28,-121.83,0.25003945854958554,-0.148876780435944,-0.03189507035929603,-0.05956550769824138,0.021000112096489006,-0.2246370763667947,-0.007139987639109056,0.13265852188073973,7.102685,4.848868,2
2.9559,16.0,4.284403669724771,1.0160550458715596,1323.0,3.0344036697247705,36.2,-121.13,1.632,36.2,-121.13,-0.3314260669448266,-0.12360642648350506,0.031106547768774803,0.0394395557717836,-0.0035344641281228346,-0.04928753028254821,-0.03864350952321226,0.0025786536536970515,8.126335,8.46067,-1
2.7986,29.0,4.409090909090909,1.1414141414141414,649.0,3.2777777777777777,34.06,-117.69,1.144,34.06,-117.69,-0.6694908420905347,-0.015013008725812913,0.015407259543022871,0.02756503079407275,0.04795635710600832,-0.155733325487418,0.09696772030863358,-0.3625328162847078,10.647516,10.043226,1
7.0177,17.0,6.405693950177936,1.1103202846975089,891.0,3.170818505338078,33.29,-117.05,2.676,33.29,-117.05,1.1577407993058937,-0.12190431724153714,-0.003160896764177673,0.06231691214035882,-0.06321649678250502,-0.29289231907959773,0.24123426016827404,-0.2854896227395087,5.0745482,2.6996849,2
2.5335,8.0,6.021786492374727,1.1688453159041394,1674.0,1.8235294117647058,33.72,-117.2,1.101,33.72,-117.2,-0.7599450735048419,-0.12566901841572392,-0.026769896059420987,0.05624372957277996,0.026093152306185845,0.4126252949414848,0.1932121498563281,-0.6897015231166207,11.567602,10.293564,1
5.3316,37.0,4.548929663608563,1.0779816513761469,1291.0,1.974006116207951,34.06,-118.39,5.00001,34.06,-118.39,0.847355159399569,0.2049645113702973,-0.026258622063107983,0.11321961366817991,0.07644289675996677,0.5611012361365088,0.45708121012193564,0.10162383390091956,6.410021,2.9950213,2
5.5376,42.0,7.0,1.0204081632653061,116.0,2.36734693877551,38.04,-121.22,2.125,38.04,-121.22,0.6681545537584451,0.09694016297348806,-0.02374174394474576,0.02427549234440275,-0.274411713213345,0.14583365102952917,-0.5769259831590022,-0.006902193335646234,5.780492,4.460664,2
4.3039,29.0,4.5987012987012985,1.0207792207792208,2259.0,2.933766233766234,37.66,-122.43,2.784,37.66,-122.43,0.10908582695981656,0.021061335149390098,-0.02089318769094087,0.03652001000051251,0.040484856246432034,-0.09778180029716263,0.022488168239489955,0.4932058044708833,7.197624,5.9668174,2
2.5224,39.0,4.110970996216897,1.0353089533417403,3130.0,3.9470365699873895,36.67,-121.61,1.192,36.67,-121.61,-0.7011203636811103,0.05224849136092387,0.013467909375042424,0.0013339991089947262,0.014254724448235046,-0.26787584922575886,-0.0512212343270645,0.10884225936143699,8.093476,9.888144,0
6.5483,20.0,7.588516746411483,0.8947368421052632,699.0,3.3444976076555024,34.3,-118.71,3.35,34.3,-118.71,1.0630052846857379,-0.0009545747028213843,0.11306479124681569,-0.10347447459653814,0.11139894921783114,-0.2480466052091069,0.15969877613629774,-0.028774024258236292,5.1314216,3.0385094,2
3.9375,52.0,4.688693098384729,1.0102790014684289,2099.0,3.0822320117474304,37.77,-122.46,4.029,37.77,-122.46,0.1026083647687985,0.5891937414330343,0.034834439744325485,0.04900572734031163,0.10552502850251232,-0.04935449493492962,0.12621859048236242,0.8201121114324843,7.5995617,5.91778,2
3.5714,5.0,4.6938775510204085,1.2693877551020407,648.0,2.6448979591836737,37.49,-121.93,3.0,37.49,-121.93,-0.12773340831988234,-0.10681747653068478,0.03502999396715481,0.10333872351995048,0.06620457558191813,0.030042818639825455,0.05819544014131963,0.15333708817870279,8.071964,8.033468,0
5.7476,19.0,8.04535637149028,1.1727861771058314,1412.0,3.0496760259179267,37.73,-120.97,2.486,37.73,-120.97,0.8724529045818655,-0.030012864171299367,0.11639746723826384,0.035153920436453816,0.014101701694496952,-0.10217817895304486,-0.2520800086568469,-0.014748854182806324,5.4131775,4.063371,2
1.3971,37.0,4.642857142857143,1.0942857142857143,1243.0,3.5514285714285716,33.96,-118.26,0.898,33.96,-118.26,-0.9836894607725162,0.022807565612607404,-0.02166742692379917,0.018655277086019773,-0.028690193755677607,-0.3400764636162905,0.29173220082840945,-0.10947512078190456,13.1611805,9.91004,1
2.9028,11.0,4.013207547169811,1.0962264150943397,1989.0,3.7528301886792454,34.22,-118.37,1.741,34.22,-118.37,-0.29329178418152746,-0.1724158861322037,0.022203042999316924,0.0284120491071343,0.01324971686942201,-0.2581664314153005,0.21176843362509384,-0.030649251510954725,12.988756,7.87925,1
13.1107,17.0,8.111650485436893,0.9320388349514563,678.0,3.29126213592233,33.89,-117.89,4.676,33.89,-117.89,2.219221344218094,-0.15304035404833757,0.10771724881087064,0.000497676866526467,0.18877453119155949,-0.10909229877507946,0.1775527434921541,-0.0422639534848135,-3.0758724,7.076195,-1
2.9698,15.0,6.029473684210526,1.2021052631578948,1480.0,3.1157894736842104,36.3,-119.32,0.934,36.3,-119.32,-0.40934767061744276,-0.1404747451475543,-0.0626235239796695,0.036082474072294236,0.00628473858799896,-0.1411719789433657,-0.15208907146653447,-0.2470004920249568,9.309017,9.240175,-1
